pre_pt_root_id,post_pt_root_id,n
864691134884770298,864691135334821865,1
864691134884791290,864691135323851676,1
864691134884807418,864691135323980444,1
864691134885481722,864691135338542822,1
864691134885652730,864691135337736166,1
864691134885687802,864691135335139561,1
864691134885785594,864691135337691110,1
864691134885792762,864691135334821865,3
864691134885810426,864691135334936809,1
864691134885957882,864691135324135068,1
864691134886015482,864691135335322345,2
864691134886037498,864691135324967580,4
864691134886037498,864691135335283689,1
864691134886037498,864691135337762278,1
864691134886037498,864691135338505702,3
864691134886037498,864691135338542822,1
864691134886037498,864691135338608358,1
864691134886037498,864691135338631910,2
864691134886055930,864691135323803292,1
864691134886082042,864691135336404969,1
864691134886285306,864691135337047529,8
864691134886288890,864691135334850537,1
864691134886364922,864691135323863196,1
864691134886400250,864691135336562921,1
864691134886659834,864691135337047529,1
864691134886770682,864691135335417577,3
864691134886950650,864691135338792934,1
864691134887138298,864691135323998364,1
864691134887236346,864691135323698844,1
864691134887236346,864691135336054249,1
864691134887260410,864691135334522089,1
864691134887350266,864691135336033001,1
864691134887540986,864691135324926620,1
864691134887540986,864691135336766185,1
864691134917395722,864691135335417577,1
864691134917425674,864691135323980444,3
864691134917431306,864691135335324905,1
864691134917488138,864691135338279142,1
864691134917488138,864691135338776038,1
864691134917786634,864691135335361001,1
864691134917881098,864691135323800732,1
864691134917899274,864691135335322345,1
864691134917901322,864691135323845276,1
864691134917901322,864691135334846185,1
864691134917901322,864691135338078438,1
864691134918110986,864691135323998364,1
864691134918120458,864691135323851676,1
864691134918174986,864691135323743388,1
864691134918307594,864691135323743388,2
864691134918318602,864691135323698844,1
864691134918373898,864691135338610150,1
864691134918384650,864691135323670428,1
864691134918384650,864691135323849116,3
864691134918384650,864691135338542822,2
864691134918385930,864691135323803292,1
864691134918404874,864691135335324905,1
864691134918478602,864691135323998364,1
864691134918478602,864691135334906089,1
864691134918889482,864691135338582246,1
864691134919225354,864691135323863196,2
864691134919570698,864691135338254310,1
864691134919748362,864691135323863196,4
864691134919748362,864691135324135068,3
864691134919748362,864691135324864412,1
864691134919748362,864691135325365404,3
864691134919748362,864691135335211241,3
864691134919748362,864691135336766185,1
864691134919748362,864691135338254310,1
864691134919869706,864691135336033001,1
864691134919967498,864691135324864412,1
864691134919967498,864691135325365404,1
864691134919967498,864691135336766185,1
864691134920082954,864691135324864412,1
864691134939975011,864691135336562921,1
864691134939986019,864691135335417577,1
864691134939991651,864691135338154726,1
864691134939992931,864691135334906089,2
864691134940025955,864691135323748252,2
864691134940025955,864691135323980444,1
864691134940025955,864691135334489321,1
864691134940025955,864691135338159078,6
864691134940214115,864691135336054249,1
864691134940246115,864691135323748252,1
864691134940246115,864691135335384041,1
864691134940393059,864691135323800732,1
864691134940398691,864691135338159078,1
864691134940398691,864691135338776038,1
864691134940406627,864691135323851676,1
864691134940933475,864691135338159078,1
864691134940933475,864691135338542822,7
864691134940933475,864691135338680038,1
864691134940964963,864691135338542822,1
864691134940967267,864691135323748252,1
864691134940967267,864691135323803292,1
864691134940967267,864691135323980444,1
864691134941063523,864691135325365404,2
864691134941346403,864691135338631910,2
864691134941941091,864691135338254310,2
864691134942077795,864691135336766185,1
864691134942206819,864691135323698844,1
864691134942221411,864691135323803292,1
864691134942221411,864691135334490089,5
864691134942498147,864691135324798876,3
864691134942692963,864691135334490089,1
864691134942692963,864691135338792934,1
864691134947399164,864691135338254310,1
864691134947410684,864691135335384041,1
864691134947712508,864691135334963433,2
864691134947712508,864691135335386857,1
864691134947712508,864691135338078438,2
864691134947756284,864691135336404969,1
864691134947842812,864691135335211241,1
864691134947861500,864691135334846185,1
864691134947861500,864691135334963433,1
864691134948165628,864691135336766185,1
864691134948244732,864691135324573084,1
864691134948414204,864691135335139561,1
864691134948414204,864691135335211241,1
864691134948429052,864691135334489321,2
864691134948429052,864691135338776038,1
864691134948511740,864691135334963433,1
864691134948605180,864691135323803292,3
864691134948605180,864691135334821865,2
864691134948605180,864691135335384041,4
864691134948605180,864691135335386857,3
864691134948605180,864691135335417577,1
864691134948605180,864691135337762278,4
864691134949568764,864691135334538217,2
864691134949568764,864691135335194857,1
864691134949774844,864691135334489321,2
864691134949774844,864691135338159078,1
864691134949774844,864691135338542822,6
864691134949774844,864691135338680038,1
864691134950149116,864691135335361001,1
864691134950149116,864691135336766185,1
864691134950228988,864691135324573084,2
864691134950228988,864691135324967580,9
864691134950228988,864691135335384041,1
864691134950228988,864691135335386857,1
864691134950228988,864691135335417577,5
864691134950228988,864691135336054249,1
864691134950228988,864691135337762278,2
864691134950228988,864691135338505702,2
864691134950228988,864691135338679270,1
864691134950248188,864691135325365404,1
864691134950301180,864691135324798876,1
864691134950317308,864691135324573084,1
864691134950395132,864691135338542822,1
864691134964418079,864691135335361001,2
864691134964435487,864691135324573084,1
864691134964443423,864691135338279142,2
864691134964455455,864691135338543078,1
864691134964690207,864691135336226537,1
864691134964800799,864691135335361001,1
864691134964821023,864691135324573084,1
864691134965214751,864691135334846185,1
864691134965250335,864691135323851676,1
864691134965250335,864691135337739238,1
864691134965359903,864691135324135068,1
864691134965414943,864691135338154726,1
864691134965414943,864691135338505958,1
864691134965433631,864691135334489321,1
864691134965447967,864691135325365404,1
864691134965615647,864691135323845276,1
864691134965618719,864691135323748252,1
864691134965618719,864691135323959196,1
864691134965634591,864691135334936809,1
864691134965694495,864691135334821865,1
864691134965694495,864691135338608358,1
864691134965718303,864691135334821865,1
864691134965762591,864691135323959196,1
864691134966187807,864691135336963305,1
864691134966290975,864691135335361001,1
864691134966306591,864691135334821865,14
864691134966306591,864691135337762278,1
864691134966306591,864691135338631910,3
864691134966306847,864691135334489321,2
864691134966306847,864691135338542822,3
864691134966306847,864691135338680038,1
864691134966306847,864691135338776038,1
864691134966341151,864691135338254310,1
864691134966510623,864691135334821865,1
864691134966759711,864691135334850537,1
864691134966759711,864691135336766185,1
864691134966759711,864691135338254310,1
864691134988380282,864691135323925148,1
864691134988432762,864691135323959196,1
864691134988438394,864691135338154726,1
864691134988460666,864691135334489321,1
864691134988464250,864691135323851676,1
864691134988477562,864691135337762278,1
864691134988596858,864691135334846185,2
864691134988596858,864691135334963433,1
864691134988596858,864691135335386857,4
864691134988596858,864691135338078438,1
864691134988596858,864691135338542822,1
864691134988881274,864691135335386857,1
864691134989042042,864691135335326697,1
864691134989042042,864691135336562921,1
864691134989152122,864691135336766185,1
864691134989188474,864691135334538217,1
864691134989260922,864691135337729254,2
864691134989283450,864691135323980444,1
864691134989283450,864691135335417577,1
864691134989364858,864691135337028841,1
864691134989457018,864691135338254310,2
864691134989461882,864691135334821865,3
864691134989471098,864691135323803292,4
864691134989471098,864691135323980444,1
864691134989471098,864691135335386857,1
864691134989687674,864691135336562921,1
864691134989745018,864691135323849116,1
864691134990091642,864691135323959196,1
864691134990322554,864691135335886057,1
864691134990390650,864691135323800732,1
864691134990817914,864691135335322345,1
864691134991040378,864691135323998364,1
864691134991040378,864691135324967580,2
864691134991040378,864691135325514396,4
864691134991040378,864691135335417577,1
864691134991040378,864691135336033001,1
864691135012357366,864691135323670428,1
864691135012374006,864691135323925148,2
864691135012406262,864691135338279142,1
864691135012407286,864691135336226537,1
864691135012411638,864691135335324905,1
864691135012432374,864691135323959196,1
864691135012432374,864691135338154726,2
864691135012441334,864691135323743388,1
864691135012446966,864691135323851676,1
864691135012452598,864691135335211241,3
864691135012478710,864691135337762278,1
864691135012488438,864691135335384041,1
864691135012488438,864691135337762278,1
864691135012494070,864691135323980444,2
864691135012494070,864691135334821865,1
864691135012541174,864691135334936809,2
864691135012564470,864691135323670428,1
864691135012646134,864691135338154726,1
864691135012814070,864691135335224297,1
864691135012831734,864691135338505958,1
864691135012865174,864691135338610150,1
864691135012878230,864691135337762278,1
864691135012884886,864691135323707548,1
864691135012884886,864691135323998364,1
864691135012884886,864691135334906089,1
864691135012895894,864691135335417577,1
864691135012925078,864691135338610150,1
864691135012941302,864691135335361001,1
864691135012944022,864691135323647644,2
864691135012944022,864691135335160297,2
864691135013029878,864691135335324905,1
864691135013287318,864691135324573084,1
864691135013304054,864691135337047529,2
864691135013305590,864691135338542822,1
864691135013325718,864691135323851676,1
864691135013325718,864691135337691110,1
864691135013369590,864691135335322345,1
864691135013403542,864691135338631910,1
864691135013464214,864691135335361001,1
864691135013503990,864691135337691110,1
864691135013519094,864691135338776038,1
864691135013528566,864691135323665308,3
864691135013555702,864691135323698844,1
864691135013596822,864691135323743388,1
864691135013688982,864691135335322345,1
864691135013796502,864691135338122726,2
864691135013843350,864691135334936809,1
864691135013902230,864691135338543078,1
864691135013930902,864691135337028841,1
864691135013934230,864691135335386857,2
864691135013958390,864691135323707548,3
864691135013958390,864691135338631910,8
864691135014078102,864691135338542822,1
864691135014241430,864691135334821865,1
864691135014258070,864691135334821865,1
864691135014276342,864691135323980444,1
864691135014355094,864691135334821865,1
864691135014383254,864691135336226537,2
864691135014442486,864691135323748252,4
864691135014442486,864691135334490089,2
864691135014442486,864691135334846185,1
864691135014582774,864691135324926620,1
864691135014672630,864691135323670428,1
