pre_pt_root_id,post_pt_root_id,n
864691134884748794,864691136974432540,2
864691134884754426,864691136967797198,3
864691134884793850,864691136974561564,1
864691134884855290,864691136966517966,1
864691134885022458,864691136974325532,1
864691134885129210,864691136973776412,1
864691134885142778,864691136966694094,2
864691134885163002,864691136966710478,1
864691134885222906,864691136989954709,1
864691134885481722,864691136966812110,1
864691134885504250,864691136966657230,1
864691134885631738,864691136967509454,1
864691134885683450,864691136968152014,1
864691134885810426,864691136966517966,1
864691134886015482,864691136966109390,1
864691134886037498,864691136966552014,1
864691134886037498,864691136966812110,2
864691134886037498,864691136966844366,8
864691134886037498,864691136968050638,2
864691134886037498,864691136974405916,2
864691134886080250,864691136966552014,1
864691134886400250,864691136967796942,1
864691134886400250,864691136989945493,3
864691134886528506,864691136974561564,1
864691134886550010,864691136967509454,1
864691134886624762,864691136966657230,1
864691134886673658,864691136976129564,1
864691134886770682,864691136973675548,2
864691134886770682,864691136973680924,1
864691134886950650,864691136966675918,2
864691134887173882,864691136975388700,1
864691134887383290,864691136975300636,2
864691134887540986,864691136966694094,1
864691134887540986,864691136968902862,2
864691134887623162,864691136967797198,1
864691134917387274,864691136973672988,2
864691134917415178,864691136974062620,1
864691134917464330,864691136974325532,1
864691134917794314,864691136954103519,1
864691134917794314,864691136966087118,1
864691134917795850,864691136974411804,1
864691134918190090,864691136967201998,1
864691134918200586,864691136968152014,1
864691134918290698,864691136974532892,1
864691134918318602,864691136973675548,1
864691134918413066,864691136966087118,1
864691134919039242,864691136974405916,1
864691134919289610,864691136973672988,1
864691134919570698,864691136966428878,1
864691134919570698,864691136974042140,1
864691134919570698,864691136974293020,1
864691134919748362,864691136974474012,5
864691134919748362,864691136975518492,2
864691134919748362,864691136976146716,1
864691134919902474,864691136974532892,1
864691134919902474,864691136975300636,2
864691134920072202,864691136968752846,1
864691134939963491,864691136967796942,1
864691134939969635,864691136968152014,1
864691134939972195,864691136966517966,1
864691134939972963,864691136974325532,1
864691134939974243,864691136968752846,1
864691134939975011,864691136967797198,1
864691134940025955,864691136966087118,1
864691134940246115,864691136973776412,1
864691134940399971,864691136974561564,1
864691134940406627,864691136968404942,2
864691134940425059,864691136966694094,1
864691134940676963,864691136973776412,1
864691134940908643,864691136976247580,1
864691134940931939,864691136968152014,1
864691134940931939,864691136976129564,2
864691134940933475,864691136966812110,2
864691134940933475,864691136968050638,1
864691134940941411,864691136974545180,1
864691134940945251,864691136975388700,1
864691134940958563,864691136966694094,1
864691134940967267,864691136974561564,1
864691134941088867,864691136973776412,1
864691134941488995,864691136966473934,2
864691134941508451,864691136966544334,1
864691134941941091,864691136974266140,1
864691134942221411,864691136974561564,3
864691134942498147,864691136966400974,1
864691134942498147,864691136968152014,8
864691134942498147,864691136974532892,1
864691134942498147,864691136975388700,5
864691134942610787,864691136967703758,1
864691134942692963,864691136973680924,1
864691134947384316,864691136976129564,1
864691134947398396,864691136965767374,4
864691134947410684,864691136973680924,1
864691134947425532,864691136974397468,1
864691134947425532,864691136976247580,1
864691134947437564,864691136974466076,1
864691134947454972,864691136973672988,1
864691134947460860,864691136966087118,1
864691134947460860,864691136974552348,1
864691134947838972,864691136973672988,1
864691134947842812,864691136967869902,2
864691134947906044,864691136974561564,1
864691134947959548,864691136966812110,1
864691134948239356,864691136974561564,1
864691134948266236,864691136966844366,1
864691134948335356,864691136976247580,2
864691134948377340,864691136965805006,1
864691134948421372,864691136973776412,1
864691134948605180,864691136966675918,1
864691134948605180,864691136966704078,1
864691134948605180,864691136973680924,5
864691134948605180,864691136973776412,6
864691134948907260,864691136968752846,1
864691134948958716,864691136976129564,1
864691134949150972,864691136967796942,1
864691134949221372,864691136966473934,1
864691134949391612,864691136974545180,2
864691134949568764,864691136976119836,1
864691134949597180,864691136976015644,1
