pre_pt_root_id,post_pt_root_id,n
864691134884754426,864691136618460557,1
864691134884759546,864691136601560273,1
864691134884759546,864691136617944027,1
864691134884762106,864691136618160603,1
864691134885489402,864691136602002385,1
864691134885544954,864691136617944027,1
864691134885584122,864691136601573073,1
864691134885618682,864691136618079707,1
864691134885640954,864691136602779857,1
864691134885653242,864691136618072795,1
864691134885675770,864691136602908369,1
864691134885713914,864691136603010513,1
864691134886037498,864691136601573073,1
864691134886037498,864691136601960657,2
864691134886037498,864691136602630353,1
864691134886037498,864691136602773713,1
864691134886037498,864691136602780881,3
864691134886037498,864691136617114331,1
864691134886037498,864691136617145307,3
864691134886037498,864691136617147099,2
864691134886037498,864691136617998299,1
864691134886037498,864691136618405261,4
864691134886054650,864691136601937873,1
864691134886116602,864691136618451341,1
864691134886280698,864691136617291995,1
864691134886280698,864691136618166491,1
864691134886288890,864691136596964258,1
864691134886288890,864691136602908369,1
864691134886295802,864691136602788049,1
864691134886295802,864691136604216273,1
864691134886350074,864691136596964258,3
864691134886350330,864691136602784977,1
864691134886364922,864691136596964258,1
864691134886400250,864691136596964258,3
864691134886434298,864691136602002385,1
864691134886498042,864691136602908369,1
864691134886528506,864691136618444685,1
864691134886624762,864691136596964258,1
864691134886673658,864691136602571217,1
864691134887236346,864691136597021090,2
864691134887260410,864691136601937873,1
864691134887260410,864691136602002385,1
864691134887471866,864691136596964258,2
864691134887540986,864691136602204881,1
864691134887540986,864691136617562587,1
864691134887540986,864691136618337243,1
864691134887571450,864691136602742993,1
864691134887571450,864691136618337243,3
864691134917382666,864691136601553361,2
864691134917431050,864691136618003419,1
864691134917620234,864691136618444685,1
864691134917642250,864691136602714321,1
864691134917642250,864691136604006353,1
864691134917794314,864691136618444685,1
864691134917901322,864691136602101713,1
864691134917973258,864691136618003419,1
864691134918110986,864691136602630353,1
864691134918110986,864691136604216273,1
864691134918126346,864691136601560273,1
864691134918163210,864691136596964258,1
864691134918301962,864691136602773713,1
864691134918384650,864691136618140891,1
864691134918396938,864691136596990370,1
864691134918403850,864691136617127131,1
864691134918478602,864691136604216273,1
864691134918614794,864691136617602267,5
864691134918889482,864691136618029019,1
864691134918947338,864691136602630353,1
864691134918947338,864691136604216273,1
864691134919748362,864691136601814481,1
864691134919869706,864691136604006353,2
864691134939972195,864691136618003419,1
864691134939989091,864691136597021090,1
864691134939997283,864691136617944027,1
864691134940005731,864691136601554129,1
864691134940011107,864691136602545873,1
864691134940025955,864691136602361809,3
864691134940025955,864691136602803665,3
864691134940211555,864691136602773713,1
864691134940226147,864691136602571217,1
864691134940406627,864691136601814481,1
864691134940504419,864691136617127131,1
864691134940767843,864691136602819537,1
864691134940933475,864691136602780881,1
