pre,post,n
864691135570730886,864691134965694495,2
864691135584771181,864691134966791711,2
864691135587126002,864691134948244732,9
864691134990798970,864691134965735199,1
864691135991502785,864691134940963171,2
864691135975935434,864691134948263420,8
864691135885702512,864691134947936508,1
864691136040237822,864691134948377340,2
864691135772906571,864691134947936508,9
864691135595810859,864691134947423740,2
864691134884855290,864691134947959548,1
864691135570223750,864691134940970339,1
864691136086239084,864691134948263420,3
864691135163371309,864691134949774844,1
864691135271970725,864691134949519612,3
864691135736296084,864691134948421372,4
864691135584068717,864691134949519612,1
864691135911939497,864691134942221411,9
864691135465142429,864691134949087228,1
864691135356765903,864691134965343775,10
864691136618219483,864691134965403167,1
864691135867431958,864691134965184287,1
864691135474312754,864691134942077795,2
864691136196262102,864691134949519612,12
864691136604049873,864691134947959548,1
864691135462779966,864691134965403167,1
864691135418002874,864691134988881274,1
864691135387551061,864691134940726115,4
864691136042123862,864691134947962620,1
864691136118784792,864691134947959548,5
864691135577681694,864691134965735199,2
864691136137926781,864691134947962620,1
864691135850405319,864691134964430879,1
864691135570033286,864691134964690207,2
864691136954077151,864691134965328671,1
864691136194023126,864691134964430879,1
864691136145537844,864691134949519612,1
864691135407641545,864691134942221411,2
864691135782853712,864691134948263420,2
864691135274355217,864691134948223484,2
864691135941909620,864691134965694495,1
864691136621108877,864691134940836963,1
864691136065254296,864691134948367100,1
864691136297603099,864691134965402143,1
864691135997658314,864691134940964963,1
864691135577681694,864691134947962620,1
864691136925196004,864691134947423740,1
864691136266886644,864691134948421372,1
864691136907477614,864691134947962620,1
864691136116402340,864691134947985148,1
864691135544403752,864691134948263420,1
864691135271970725,864691134949737468,1
864691136111185336,864691134947423740,5
864691135878689363,864691134940726115,2
864691135480553414,864691134942221411,1
864691135996254890,864691134942221411,4
864691135491226207,864691134948377340,1
864691136106547161,864691134966852383,1
864691136419444887,864691134940950883,2
864691135104516941,864691134940963171,1
864691134949774844,864691134949774844,33
864691136424737583,864691134965597471,1
864691136058865368,864691134988437370,2
864691136618440589,864691134947959548,2
864691136011906723,864691134940946787,1
864691136601579985,864691134965332767,1
864691135701223547,864691134948272636,1
864691135476760232,864691134965337887,1
864691136914235889,864691134966051871,5
864691135954699299,864691134950034684,2
864691135656800706,864691134947423740,1
864691135195040810,864691134965848351,1
864691136967411918,864691134965694495,2
864691135081902071,864691134947962620,1
864691135929158612,864691134988453754,1
864691135738256532,864691134948421372,1
864691135864970366,864691134965343775,1
864691137020061806,864691134965184287,1
864691135940625062,864691134949519612,6
864691136311330906,864691134965403167,2
864691136196971596,864691134966051871,1
864691135135087520,864691134966710559,2
864691135157437540,864691134940836963,1
864691135656800706,864691134942077795,2
864691135917583462,864691134940964963,3
864691135164408621,864691134988437370,1
864691135060842395,864691134948423676,2
864691135528085851,864691134965184031,1
864691135431870256,864691134949368316,1
864691135374184521,864691134942221411,2
864691136965986254,864691134964690207,2
864691135472988978,864691134940950883,1
864691135213726848,864691134948263420,1
864691134950149116,864691134949368316,2
864691136968930254,864691134949368316,4
864691136371073416,864691134947936508,3
864691135840113811,864691134947962620,2
864691134948377340,864691134948377340,10
864691135335365865,864691134965263647,1
864691135662673604,864691134964823071,1
864691135937175044,864691134940950883,1
864691136007281354,864691134965328671,2
864691134965337887,864691134965337887,8
864691136729335158,864691134947962620,1
864691134940933475,864691134949774844,2
864691135382942682,864691134988881274,3
864691135270337445,864691134948762620,1
864691135517230291,864691134948244732,1
864691135323181212,864691134949519612,6
864691135012895894,864691134965190687,8
864691134948287228,864691134948287228,6
864691135778993597,864691134948373756,2
864691135540028530,864691134965597471,4
864691135954173960,864691134965597471,1
864691134948605180,864691134948263420,4
864691135374917193,864691134988437370,1
864691136380941525,864691134965296415,1
864691135942134900,864691134947793916,1
864691134948430844,864691134940963171,1
864691135938510133,864691134988437370,1
864691135772495867,864691134942221411,1
864691136296709147,864691134940970339,1
864691135719381553,864691134966051871,1
864691135658890370,864691134948423676,1
864691135448809556,864691134949737468,2
864691136675476359,864691134966852383,1
864691135943029620,864691134948373756,1
864691135582056301,864691134966178335,1
864691136236713999,864691134965223199,1
864691135573434093,864691134988902778,3
864691135952952355,864691134948244732,3
864691135952952355,864691134948367100,1
864691135952952355,864691134965343775,2
864691135060727707,864691134965735199,1
864691135503724354,864691134949368316,1
864691135809842973,864691134948423676,3
864691136617136603,864691134942667363,2
864691135952952355,864691134942221411,2
864691135465241157,864691134988437370,1
864691135293462796,864691134965735199,1
864691135699905557,864691134949221372,5
