pre_pt_root_id,post_pt_root_id,n
864691134884759546,864691135772236619,2
864691134884768762,864691135774307403,1
864691134884782586,864691135772642379,1
864691134884791290,864691135772451659,1
864691134885142778,864691135772520443,1
864691134885167866,864691135771715915,1
864691134885587194,864691135772609531,1
864691134885612282,864691135774275147,1
864691134885675770,864691135773724491,1
864691134885681914,864691135772761851,1
864691134885782778,864691135772493819,1
864691134885926906,864691135773543163,1
864691134886006778,864691135773724747,1
864691134886037498,864691135771714123,1
864691134886037498,864691135773543163,6
864691134886037498,864691135776537952,1
864691134886058746,864691135772761851,1
864691134886208762,864691135772407035,1
864691134886285306,864691135772545019,1
864691134886288890,864691135771667275,1
864691134886295802,864691135772566011,3
864691134886350330,864691135774307403,1
864691134886400250,864691135772405243,1
864691134886434298,864691135772493819,1
864691134886434298,864691135772654923,1
864691134886434298,864691135773450747,1
864691134886434298,864691135776530272,1
864691134886528506,864691135771714123,1
864691134886580474,864691135776530272,1
864691134887260410,864691135772451659,5
864691134887260410,864691135772511995,1
864691134887273978,864691135772977403,1
864691134887383290,864691135772714059,1
864691134887499514,864691135774307403,1
864691134887540986,864691135771658827,3
864691134887540986,864691135772428619,1
864691134887540986,864691135772696907,2
864691134887623162,864691135773724491,1
864691134917388554,864691135773763147,1
864691134917620234,864691135774275147,1
864691134917642250,864691135773409787,1
864691134917645066,864691135772459083,1
864691134917977610,864691135772527355,1
864691134918190090,864691135774552651,1
864691134918307594,864691135774230523,1
864691134918309130,864691135771679051,1
864691134918318602,864691135774552651,1
864691134918384650,864691135772564987,1
864691134918406922,864691135772148043,1
864691134918409738,864691135772714059,2
864691134918478602,864691135776595040,1
864691134918590730,864691135772761851,1
864691134918596362,864691135771652171,2
864691134918889482,864691135773703419,1
864691134919570698,864691135772684363,3
864691134919570698,864691135772977403,1
864691134919570698,864691135774307403,1
864691134919570698,864691135775796141,1
864691134919748362,864691135774275147,8
864691134919902474,864691135772590331,2
864691134919902474,864691135772714059,1
864691134919967498,864691135771658827,1
864691134920082954,864691135772405243,1
864691134920082954,864691135773054283,1
864691134939989091,864691135774307403,1
864691134940009827,864691135772473419,1
864691134940206947,864691135772452859,1
864691134940213347,864691135776031405,1
864691134940368227,864691135773409787,1
864691134940368227,864691135776567136,1
864691134940381539,864691135772405243,1
864691134940406627,864691135772545019,1
864691134940676963,864691135772419659,1
864691134940908643,864691135772459083,1
864691134940941411,864691135773409787,1
864691134940946531,864691135772493819,2
864691134940946531,864691135776530272,5
864691134940947299,864691135772714059,1
864691134941508451,864691135772714059,1
864691134941953635,864691135773201739,1
864691134942077795,864691135772405243,2
864691134942161763,864691135772405243,2
864691134942221411,864691135771714123,1
