arm,run,phase,after_trial,mbon_rate_hz,B0,R
appetitive,0,baseline,0,78.05059523809524,77.13789682539682,1.0118320365249824
appetitive,0,baseline,1,77.4702380952381,77.13789682539682,1.0043084046042057
appetitive,0,baseline,2,75.89285714285715,77.13789682539682,0.9838595588708123
appetitive,0,acq,1,67.33630952380952,77.13789682539682,0.872934216449103
appetitive,0,acq,2,61.42857142857143,77.13789682539682,0.7963475017683751
appetitive,0,acq,3,53.42261904761905,77.13789682539682,0.6925599639894541
appetitive,0,acq,4,49.345238095238095,77.13789682539682,0.6397016269050222
appetitive,0,acq,6,41.04166666666667,77.13789682539682,0.5320558163462158
appetitive,0,acq,8,37.5,77.13789682539682,0.4861423702655778
appetitive,0,acq,10,32.91666666666667,77.13789682539682,0.42672496945534055
appetitive,0,acq,12,31.16071428571429,77.13789682539682,0.4039611600540159
appetitive,0,ext,1,31.011904761904763,77.13789682539682,0.4020320236640731
appetitive,0,ext,2,37.88690476190476,77.13789682539682,0.49115812487942895
appetitive,0,ext,3,41.264880952380956,77.13789682539682,0.5349495209311299
appetitive,0,ext,4,45.68452380952382,77.13789682539682,0.5922448717124302
appetitive,0,ext,5,49.166666666666664,77.13789682539682,0.6373866632370908
appetitive,0,ext,6,52.87202380952381,77.13789682539682,0.6854221593466658
appetitive,0,ext,7,54.07738095238095,77.13789682539682,0.7010481641052022
appetitive,0,ext,8,56.42857142857143,77.13789682539682,0.731528519066298
appetitive,1,baseline,0,75.20833333333334,75.78869047619048,0.9923424307873553
appetitive,1,baseline,1,77.09821428571429,75.78869047619048,1.0172786177105833
appetitive,1,baseline,2,75.05952380952381,75.78869047619048,0.9903789515020616
appetitive,1,acq,1,66.875,75.78869047619048,0.8823875908109169
appetitive,1,acq,2,60.47619047619048,75.78869047619048,0.7979579815432948
appetitive,1,acq,3,52.72321428571429,75.78869047619048,0.6956607107795013
appetitive,1,acq,4,49.04761904761905,75.78869047619048,0.6471627724327509
appetitive,1,acq,6,39.12202380952381,75.78869047619048,0.5161987041036716
appetitive,1,acq,8,34.955357142857146,75.78869047619048,0.4612212841154526
appetitive,1,acq,10,32.30654761904762,75.78869047619048,0.42627135283722756
appetitive,1,acq,12,29.83630952380953,75.78869047619048,0.3936775967013548
appetitive,1,ext,1,30.74404761904762,75.78869047619048,0.4056548203416454
appetitive,1,ext,2,38.11011904761905,75.78869047619048,0.5028470449636756
appetitive,1,ext,3,41.23511904761905,75.78869047619048,0.54408010995484
appetitive,1,ext,4,44.330357142857146,75.78869047619048,0.5849204790889456
appetitive,1,ext,5,49.22619047619048,75.78869047619048,0.6495189475751031
appetitive,1,ext,6,52.1279761904762,75.78869047619048,0.6878067936383272
appetitive,1,ext,7,53.49702380952381,75.78869047619048,0.7058708030630276
appetitive,1,ext,8,56.74107142857143,75.78869047619048,0.7486746514824268
appetitive,2,baseline,0,75.58035714285715,76.1954365079365,0.9919276088796304
appetitive,2,baseline,1,76.30952380952381,76.1954365079365,1.0014972983529717
appetitive,2,baseline,2,76.69642857142857,76.1954365079365,1.006575092767398
appetitive,2,acq,1,66.96428571428572,76.1954365079365,0.8788490332660636
appetitive,2,acq,2,61.07142857142858,76.1954365079365,0.8015103183386499
appetitive,2,acq,3,52.85714285714286,76.1954365079365,0.6937048369246794
appetitive,2,acq,4,47.961309523809526,76.1954365079365,0.6294512076036717
appetitive,2,acq,6,42.11309523809524,76.1954365079365,0.5526983920317688
appetitive,2,acq,8,35.639880952380956,76.1954365079365,0.46774298548271603
appetitive,2,acq,10,33.080357142857146,76.1954365079365,0.43415142243343535
appetitive,2,acq,12,31.05654761904762,76.1954365079365,0.4075906516502832
appetitive,2,ext,1,31.48809523809524,76.1954365079365,0.4132543454202201
appetitive,2,ext,2,37.395833333333336,76.1954365079365,0.4907883601328039
appetitive,2,ext,3,39.73214285714286,76.1954365079365,0.521450426404531
appetitive,2,ext,4,43.97321428571429,76.1954365079365,0.5771108651780484
appetitive,2,ext,5,49.955357142857146,76.1954365079365,0.6556213788164833
appetitive,2,ext,6,52.42559523809524,76.1954365079365,0.6880411431547426
appetitive,2,ext,7,53.64583333333334,76.1954365079365,0.704055725538702
appetitive,2,ext,8,56.48809523809524,76.1954365079365,0.7413579845062171
appetitive,3,baseline,0,76.63690476190477,76.67162698412699,0.9995471307498222
appetitive,3,baseline,1,77.26190476190477,76.67162698412699,1.0076987772530246
appetitive,3,baseline,2,76.11607142857143,76.67162698412699,0.9927540919971534
appetitive,3,acq,1,67.45535714285715,76.67162698412699,0.8797955618813483
appetitive,3,acq,2,58.898809523809526,76.67162698412699,0.7681956395160768
appetitive,3,acq,3,54.166666666666664,76.67162698412699,0.7064760302775441
appetitive,3,acq,4,49.464285714285715,76.67162698412699,0.6451445946820211
appetitive,3,acq,6,40.53571428571429,76.67162698412699,0.5286925017791293
appetitive,3,acq,8,36.97916666666667,76.67162698412699,0.4823057514394773
appetitive,3,acq,10,33.214285714285715,76.67162698412699,0.4332017855987578
appetitive,3,acq,12,30.089285714285715,76.67162698412699,0.3924435530827457
appetitive,3,ext,1,31.05654761904762,76.67162698412699,0.405059196480559
appetitive,3,ext,2,36.13095238095239,76.67162698412699,0.4712428026137026
appetitive,3,ext,3,41.398809523809526,76.67162698412699,0.5399495374264087
appetitive,3,ext,4,44.56845238095239,76.67162698412699,0.5812900304069354
appetitive,3,ext,5,48.18452380952381,76.67162698412699,0.6284531280326066
appetitive,3,ext,6,51.45833333333334,76.67162698412699,0.6711522287636671
appetitive,3,ext,7,55.44642857142858,76.67162698412699,0.7231674969269587
appetitive,3,ext,8,55.580357142857146,76.67162698412699,0.724914278320502
